Word,POS,Pronunciation,Meaning
addition,n,ə'diʃn,"tính cộng, phép cộng"
additional,adj,ə'diʃənl,"thêm vào, tăng thêm"
address,"n, v",ə'dres,"địa chỉ, đề địa chỉ"
adequate,adj,ædikwit,"đầy, đầy đủ"
adequately,adv,ædikwitli,"tương xứng, thỏa đáng"
adjust,v,ə'dʤʌst,"sửa lại cho đúng, điều chỉnh"
admiration,n,",ædmə'reiʃn","sự khâm phục, thán phục"
admire,v,əd'maiə,"khâm phục, thán phục"
admit,v,əd'mit,"nhận vào, cho vào, kết hợp"
adopt,v,ə'dɔpt,"nhận làm con nuôi, bố mẹ nuôi"
adult,"n, adj",ædʌlt,"người lớn, người trưởng thành"
advance,"n, v",əd'vɑ:ns,"sự tiến bộ, tiến lên"
advanced,adj,əd'vɑ:nst,"tiên tiến, tiến bộ, cap cao"
advantage,n,əb'vɑ:ntidʤ,"sự thuận lợi, lợi ích, lợi thế"
adventure,n,əd'ventʃə,"sự phiêu lưu, mạo hiểm"
advertise,v,ædvətaiz,"báo cho biết, báo cho biết trước"
advertisement,n,əd'və:tismənt,quảng cáo
advertising,n,əd'və:tismənt,"sự quảng cáo, nghề quảng cáo"
advice,n,əd'vais,"lời khuyên, lời chỉ bảo"
advise,v,əd'vaiz,"khuyên, khuyên bảo, răn bảo"
affair,n,ə'feə,việc
affect,v,ə'fekt,"làm ảnh hưởng, tác động đến"
affection,n,ə'fekʃn,"tình cảm, sự yêu mến"
afford,v,ə'fɔ:d,"có thể, có đủ khả năng, điều kiện (làm gì)"
afraid,adj,ə'freid,"sợ, sợ hãi, hoảng sợ"
after,"prep, conj, adv",ɑ:ftə,"sau, đằng sau, sau khi"
afternoon,n,ɑ:ftə'nu:n,buổi chiều
afterwards,adv,ɑ:ftəwəd,"sau này, về sau, rồi thì, sau đây"
again,adv,ə'gen,"lại, nữa, lần nữa"
against,prep,ə'geinst,"chống lại, phản đối"
age,n,eidʤ,tuổi
aged,adj,eidʤid,già đi
agency,n,eidʤənsi,"tác dụng, lực"
agent,n,eidʤənt,"đại lý, tác nhân"
aggressive,adj,ə'gresiv,"xâm lược, hung hăng (US: xông xáo)"
ago,adv,ə'gou,trước đây
agree,v,ə'gri:,"đồng ý, tán thành"
agreement,n,ə'gri:mənt,"sự đồng ý, tán thành"
ahead,adv,ə'hed,"trước, về phía trước"
aid,"n, v",eid,sự giúp đỡ
aim,"n, v",eim,"sự nhắm (bắn), mục tiêu, ý định"
air,n,eə,"không khí, bầu không khí, không gian"
aircraft,n,eəkrɑ:ft,"máy bay, khí cầu"
airport,n,eəkrɑ:ft,"sân bay, phi trường"
alarm,"n, v",ə'lɑ:m,"báo động, báo nguy"
alarmed,adj,ə'lɑ:m,báo động
alarming,adj,ə'lɑ:miɳ,"làm lo sợ, làm hốt hoảng, làm sợ hãi"
alcohol,n,ælkəhɔl,rượu cồn
alcoholic,"adj, n",",ælkə'hɔlik",rượu
alive,adj,ə'laiv,"sống, vẫn còn sống, còn tồn tại"
all,"pron, adv",ɔ:l,tất cả
all right,,ɔ:l'rait,"tốt, ổn, khỏe mạnh"
allied,adj,ə'laid,"liên minh, đồng minh, thông gia"
allow,v,ə'lau,"cho phép, để cho"
ally,"n, v",æli,"nước đồng minh, liên minh"
almost,adv,ɔ:lmoust,"hầu như, gần như"
alone,"adj, adv",ə'loun,"cô đơn, một mình"
along,"prep, adv",ə'lɔɳ,"dọc theo, theo"
alongside,"prep, adv",ə'lɔɳ'said,"sát cạnh, kế bên, dọc theo"
aloud,adv,ə'laud,"lớn tiếng, to tiếng"
alphabet,n,ælfəbit,"bảng chữ cái, bước đầu, điều cơ bản"
alphabetical,adj,",æflə'betikl",thuộc bảng chứ cái
alphabetically,adv,",ælfə'betikəli",theo thứ tự abc
already,adv,ɔ:l'redi,"đã, rồi, đã… rồi"
also,adv,ɔ:lsou,"cũng, cũng vậy, cũng thế"
alter,v,ɔ:ltə,"thay đổi, biến đổi, sửa đổi"
alternative,"n, adj",ɔ:l'tə:nətiv,sự lựa chọn
alternatively,adv,ɔ:l'tə:nətiv,như một sự lựa chọn
although,conj,ɔ:l'ðou,"mặc dù, dẫu cho"
altogether,adv,",ɔ:ltə'geðə","hoàn toàn, hầu như"
always,adv,ɔ:lwəz,luôn luôn
amaze,v,ə'meiz,"làm ngạc nhiên, làm sửng sốt"
amazed,adj,ə'meiz,"kinh ngạc, sửng sốt"
amazing,adj,ə'meiziɳ,"kinh ngạc, sửng sốt"
ambition,n,æm'biʃn,"hoài bão, khát vọng"
ambulance,n,æmbjuləns,"xe cứu thương, xe cấp cứu"
among,prep,ə'mʌɳ,"giữa, ở giữa"
amongst,prep,ə'mʌɳ,"giữa, ở giữa"
amount,"n, v",ə'maunt,"số lượng, số nhiều"
amuse,v,ə'mju:z,"làm cho vui, thích, làm buồn cười"
amused,adj,ə'mju:zd,vui thích
amusing,adj,ə'mju:ziɳ,vui thích
analyse,v,ænəlaiz,phân tích
analyze,v,ænəlaiz,phân tích
analysis,n,ə'næləsis,sự phân tích
ancient,adj,einʃənt,"xưa, cổ"
anger,n,æɳgə,"sự tức giận, sự giận dữ"
angle,n,æɳgl,góc
angrily,adv,æɳgrili,"tức giận, giận dữ"
angry,adj,æɳgri,"giận, tức giận"
animal,n,æniməl,"động vật, thú vật"
ankle,n,æɳkl,mắt cá chân
anniversary,n,",æni'və:səri","ngày, lễ kỉ niệm"
announce,v,ə'nauns,"báo, thông báo"
annoy,v,ə'nɔi,"chọc tức, làm bực mình"
annoyed,adj,ə'nɔid,"bị khó chịu, bực mình, bị quấy rầy"
annoying,adj,ə'nɔiiɳ,"chọc tức, làm bực mình"
annual,adj,ænjuəl,"hàng năm, từng năm"
annually,adv,ænjuəli,"hàng năm, từng năm"
another,"det, pron",ə'nʌðə,khác
answer,"n, v",ɑ:nsə,sự trả lời
anti,prefix,ɑ:nsə,chống lại
anticipate,v,æn'tisipeit,"thấy trước, chặn trước, lường trước"
anxiety,n,æɳ'zaiəti,"mối lo âu, sự lo lắng"
anxious,adj,æɳkʃəs,"lo âu, lo lắng, băn khoăn"
anxiously,adv,æɳkʃəsli,"lo âu, lo lắng, băn khoăn"
anyway,adv,eniwei,"thế nào cũng được, dù sấo chăng nữa"
anywhere,adv,eniweə,"bất cứ chỗ nào, bất cứ nơi đâu"
apart,adv,ə'pɑ:t,"về một bên, qua một bên"
apart from,prep,ə'pɑ:t,ngoài… ra
apart from,prep,ə'pɑ:t,ngoài ra
aside from,prep,ə'pɑ:t,ngoài ra
apartment,n,ə'pɑ:tmənt,"căn phòng, căn buồng"
apologize,v,ə'pɔlədʤaiz,"xin lỗi, tạ lỗi"
apparent,adj,ə'pærənt,"rõ ràng, rành mạch"
apparently,adv,ə'pærənt,"nhìn bên ngoài, hình như"
appeal,"n, v",ə'pi:l,"sự kêu gọi, lời kêu gọi"
appear,v,ə'piə,"xuất hiện, hiện ra, trình diện"
appearance,n,ə'piərəns,"sự xuất hiện, sự trình diện"
apple,n,æpl,quả táo
application,n,",æpli'keiʃn","sự gắn vào, vật gắn vào"
apply,v,ə'plai,"gắn vào, ghép vào, áp dụng vào"
appoint,v,ə'pɔint,"bổ nhiệm, chỉ định, chọn"
appointment,n,ə'pɔintmənt,"sự bổ nhiệm, người được bổ nhiệm"
appreciate,v,ə'pri:ʃieit,thấy rõ
approach,"v, n",ə'proutʃ,"đến gần, lại gần"
approval,n,ə'pru:vəl,"sự tán thành, đồng ý, sự chấp thuận"
approve,"of, v",ə'pru:v,"tán thành, đồng ý, chấp thuận"
approving,adj,ə'pru:viɳ,"tán thành, đồng ý, chấp thuận"
approximate,"adj, to",ə'prɔksimit,"giống với, giống hệt với"
approximately,adv,ə'prɔksimitli,"khoảng chừng, độ chừng"
area,n,eəriə,"diện tích, bề mặt"
argue,v,ɑ:gju:,"chứng tỏ, chỉ rõ"
argument,n,ɑ:gjumənt,lý lẽ
arise,v,ə'raiz,"xuất hiện, nảy ra, nảy sinh ra"
arm,"n, v",ɑ:m,cánh tay
armed,adj,ɑ:md,vũ trang
arms,n,ɑ:md,"vũ khí, binh giới, binh khí"
army,n,ɑ:mi,quân đội
around,"adv, prep",ə'raund,"xung quanh, vòng quanh"
arrange,v,ə'reindʤ,"sắp xếp, sắp đặt, sửa soạn"
arrangement,n,ə'reindʤmənt,"sự sắp xếp, sắp đặt, sự sửa soạn"
arrest,"v, n",ə'rest,"bắt giữ, sự bắt giữ"
arrival,n,ə'raivəl,"sự đến, sự tới nơi"
arrow,n,ærou,"tên, mũi tên"
art,n,ɑ:t,"nghệ thuật, mỹ thuật"
article,n,ɑ:tikl,"bài báo, đề mục"
artificial,adj,",ɑ:ti'fiʃəl",nhân tạo
artificially,adv,",ɑ:ti'fiʃəli",nhân tạo
artist,n,ɑ:tist,nghệ sĩ
artistic,adj,ɑ:'tistik,"thuộc nghệ thuật, thuộc mỹ thuật"
as well,,"æz, əz","cũng, cũng như"
ashamed,adj,ə'ʃeimd,"ngượng, xấu hổ"
aside,adv,ə'said,"về một bên, sang một bên"
ask,v,ɑ:sk,hỏi
asleep,adj,ə'sli:p,"ngủ, đang ngủ"
aspect,n,æspekt,"vẻ bề ngoài, diện mạo"
assist,v,ə'sist,"giúp, giúp đỡ"
assistance,n,ə'sistəns,sự giúp đỡ
assistant,"n, adj",ə'sistənt,"người giúp đỡ, người phụ tá"
associate,v,ə'souʃiit,"kết giao, liên kết, kết hợp, cho cộng tác"
association,n,"ə,sousi'eiʃn","sự kết hợp, sự liên kết"
assume,v,ə'sju:m,"mang, khoác, có, lấy (cái vẻ, tính chất…)"
assure,v,ə'ʃuə,"đảm bảo, cấm đoán"
atmosphere,n,ætməsfiə,khí quyển
atom,n,ætəm,nguyên tử
attach,v,ə'tætʃ,"gắn, dán, trói, buộc"
attached,adj,ə'tætʃ,gắn bó
attack,"n, v",ə'tæk,"sự tấn công, sự công kích"
attempt,"n, v",ə'tempt,"sự cố gắng, sự thử"
attempted,adj,ə'temptid,"cố gắng, thử"
attend,v,ə'tend,"dự, có mặt"
attention,n,ə'tenʃn,sự chú ý
attitude,n,ætitju:d,"thái độ, quan điểm"
attorney,n,ə'tə:ni,người được ủy quyền
attract,v,ə'trækt,hút
attraction,n,ə'trækʃn,"sự hút, sức hút"
attractive,adj,ə'træktiv,"hút, thu hút, có duyên, lôi cuốn"
audience,n,ɔ:djəns,"thính, khan giả"
aunt,n,ɑ:nt,"cô, dì"
author,n,ɔ:θə,tác giả
authority,n,ɔ:'θɔriti,"uy quyền, quyền lực"
automatic,adj,",ɔ:tə'mætik",tự động
automatically,adv,",ɔ:tə'mætik",một cách tự động
autumn,n,ɔ:təm,mùa thu (US: mùa thu là fall)
available,adj,ə'veiləbl,"có thể dùng được, có giá trị, hiệu lực"
average,"adj, n",ævəridʤ,"trung bình, số trung bình, mức trung bình"
avoid,v,ə'vɔid,"tránh, tránh xa"
awake,adj,ə'weik,"đánh thức, làm thức dậy"
award,"n, v",ə'wɔ:d,phần thưởng
aware,adj,ə'weə,"biết, nhận thức, nhận thức thấy"
away,adv,ə'wei,"xa, xa cách, rời xa, đi xa"
awful,adj,ɔ:ful,"oai nghiêm, dễ sợ"
awfully,adv,ɔ:ful,"tàn khốc, khủng khiếp"
awkward,adj,ɔ:kwəd,"vụng về, lung túng"
awkwardly,adv,ɔ:kwəd,"vụng về, lung túng"
back,"n, adj, adv, v",bæk,"lưng, sau, về phía sau, trở lại"
background,n,bækgraund,phía sau
backward,adj,bækwəd,"về phía sau, lùi lại"
backwards,adv,bækwədz,ngược
bacteria,n,bæk'tiəriəm,vi khuẩn
bad,adj,bæd,"xấu, tồi"
badly,adv,bædli,"xấu, tồi"
bad-tempered,adj,bæd'tempəd,"xấu tính, dễ nổi cáu"
bag,n,bæg,"bao, túi, cặp xách"
baggage,n,bædidʤ,hành lý
bake,v,beik,"nung, nướng bằng lò"
balance,"n, v",bæləns,cái cân
ball,n,bɔ:l,quả bóng
ban,"v, n",bæn,"cấm, cấm chỉ"
band,n,bænd,"băng, đai, nẹp"
bandage,"n, v",bændidʤ,dải băng
bank,n,bæɳk,"bờ (sông…) , đê"
bar,n,bɑ:,quán bán rượu
bargain,n,bɑ:gin,"sự mặc cả, sự giao kèo mua bán"
barrier,n,bæriə,đặt chướng ngại vật
base,"n, v",beis,"cơ sở, cơ bản, nền móng"
basic,adj,beisik,"cơ bản, cơ sở"
basically,adv,beisikəli,"cơ bản, về cơ bản"
basis,n,beisis,"nền tảng, cơ sở"
bath,n,bɑ:θ,sự tắm
bathroom,n,bɑ:θ,"buồng tắm, nhà vệ sinh"
battery,n,bætəri,"pin, ắc quy"
battle,n,bætl,"trận đánh, chiến thuật"
bay,n,bei,"gian (nhà), nhịp (cầu), chuồng (ngựa)"
be sick,,bei,bị ốm
beach,n,bi:tʃ,bãi biển
beak,n,bi:k,mỏ chim
bear,v,beə,"mang, cầm, vác, đeo, ôm"
beard,n,biəd,râu
beat,"n, v",bi:t,"tiếng đập, sự đập"
beautiful,adj,bju:təful,đẹp
beautifully,adv,bju:təfuli,"tốt đẹp, đáng hài lòng"
beauty,n,bju:ti,"vẻ đẹp, cái đẹp"
because,conj,bi'kɔz,"bởi vì, vì"
become,v,bi'kʌm,"trở thành, trở nên"
bed,n,bed,cái giường
bedroom,n,bedrum,phòng ngủ
beef,n,bi:f,thịt bò
beer,n,bi:ə,rượu bia
before,"prep, conj, adv",bi'fɔ:,"trước, đằng trước"
begin,v,bi'gin,"bắt đầu, khởi đầu"
beginning,n,bi'giniɳ,"phần đầu, lúc bắt đầu, lúc khởi đầu"
behalf,n,bi:hɑ:f,sự thay mặt
behalf,,bi:hɑ:f,nhân danh cá nhân ai
on sb’s behalf,,bi:hɑ:f,nhân danh cá nhân ai
behave,v,bi'heiv,"đối xử, ăn ở, cư xử"
behaviour,n,bi'heiv,"thái độ, cách đối xử"
behavior,n,bi'heiv,"thái độ, cách đối xử"
behind,"prep, adv",bi'haind,"sau, ở đằng sau"
belief,n,bi'li:f,"lòng tin, đức tin, sự tin tưởng"
believe,v,bi'li:v,"tin, tin tưởng"
bell,n,bel,"cái chuông, tiếng chuông"
belong,v,bi'lɔɳ,"thuộc về, của, thuộc quyền sở hữu"
below,"prep, adv",bi'lou,"ở dưới, dưới thấp, phía dưới"
belt,n,belt,"dây lưng, thắt lưng"
bend,"v, n",bentʃ,"chỗ rẽ, chỗ uốn"
beneath,"prep, adv",bi'ni:θ,"ở dưới, dưới thấp"
benefit,"n, v",benifit,"lợi, lợi ích"
bent,adj,bent,"khiếu, sở thích, khuynh hướng"
beside,prep,bi'said,"bên cạnh, so với"
bet,"v, n",bet,"đánh cuộc, cá cược"
better,adj,"betə, best","tốt hơn, tốt nhất"
best,adj,"betə, best","tốt hơn, tốt nhất"
betting,n,beting,sự đánh cuộc
between,"prep, adv",bi'twi:n,"giữa, ở giữa"
beyond,"prep, adv",bi'jɔnd,"ở xa, phía bên kia"
bid,"v, n",bid,"đặt giá, trả giá"
big,adj,big,"to, lớn"
bill,n,bil,"hóa đơn, giấy bạc"
bin,n,bin,"thùng, thùng đựng rượu"
biology,n,bai'ɔlədʤi,sinh vật học
bird,n,bə:d,chim
birth,n,bə:θ,"sự ra đời, sự sinh đẻ"
birthday,n,bə:θdei,"ngày sinh, sinh nhật"
biscuit,n,biskit,bánh quy
bit,n,bit,"miếng, mảnh"
bite,"v, n",bait,"cắn, ngoạm"
bitter,adj,bitə,đắng
bitterly,adv,bitəli,"đắng, đắng cay, chua xót"
black,"adj, n",blæk,đen
blade,n,bleid,"lưỡi (dao, kiếm)"
blame,"v, n",bleim,"khiển trách, mắng trách"
blank,"adj, n",blæɳk,"trống, để trắng"
blankly,adv,blæɳkli,"ngây ra, không có thần"
blind,adj,blaind,"đui, mù"
block,"n, v",blɔk,"khối, tảng (đá)"
blood,n,blʌd,"máu, huyết"
blow,"v, n",blou,nở hoa
blue,"adj, n",blu:,"xanh, màu xanh"
board,"n, v",bɔ:d,tấm ván
boat,n,bout,"tàu, thuyền"
body,n,bɔdi,"thân thể, thân xác"
boil,v,bɔil,"sôi, luộc"
bomb,"n, v",bɔm,quả bom
bone,n,boun,xương
book,"n, v",buk,sách
boot,n,bu:t,giày ống
border,n,bɔ:də,"bờ, mép, vỉa, lề (đường)"
bore,v,bɔ:,"buồn chán, buồn tẻ"
bored,adj,bɔ:,buồn chán
boring,adj,bɔ:riɳ,buồn chán
borrow,v,bɔrou,"vay, mượn"
boss,n,bɔs,"ông chủ, thủ trưởng"
both,"det, pron",bouθ,cả hai
bother,v,bɔðə,"làm phiền, quấy rầy, làm bực mình"
bottle,n,bɔtl,"chai, lọ"
bottom,"n, adj",bɔtəm,"phần dưới cùng, thấp nhất"
bowl,n,boul,cái bát
box,n,bɔks,"hộp, thùng"
boy,n,bɔi,"con trai, thiếu niên"
boyfriend,n,bɔi,bạn trai
brain,n,brein,óc não
branch,n,brɑ:ntʃ,ngành
brand,n,brænd,nhãn (hàng hóa)
brave,adj,breiv,"gan dạ, can đảm"
bread,n,bred,bánh mỳ
break,"v, n",breik,"bẻ gẫy, đập vỡ"
breakfast,n,brekfəst,"bữa điểm tâm, bữa sáng"
breast,n,brest,"ngực, vú"
breath,n,breθ,"hơi thở, hơi"
breathe,v,bri:ð,"hít, thở"
breathing,n,bri:ðiɳ,"sự hô hấp, sự thở"
breed,"v, n",bri:d,"nuôi dưỡng, chăm sóc, giáo dục"
brick,n,brik,gạch
bridge,n,bridʤ,cái cầu
brief,adj,bri:f,"ngắn, gọn, vắn tắt"
briefly,adv,bri:fli,"ngắn, gọn, vắn tắt, tóm tắt"
bright,adj,brait,"sáng, sáng chói"
brightly,adv,braitli,"sáng chói, tươi"
brilliant,adj,briljənt,"tỏa sáng, rực rỡ, chói lọi"
bring,v,briɳ,"mang, cầm , xách lại"
broad,adj,broutʃ,rộng
broadcast,"v, n",brɔ:dkɑ:st,"tung ra khắp nơi,truyền rộng rãi"
broadly,adv,brɔ:dli,"rộng, rộng rãi"
broken,adj,broukən,"bị gãy, bị vỡ"
brother,n,brΔðз,"anh, em trai"
brown,"adj, n",braun,"nâu, màu nâu"
brush,"n, v",brΔ∫,bàn chải
bubble,n,bΔbl,"bong bóng, bọt, tăm"
budget,n,ˈbʌdʒɪt,ngân sách
build,v,bild,xây dựng
building,n,bildiŋ,"sự xây dựng, công trình xây dựng tòa nhà"
bullet,n,bulit,"đạn (súng trường, súng lục)"
bunch,n,bΛnt∫,"búi, chùm, bó, cụm, buồng"
burn,v,bə:n,"đốt, đốt cháy, thắp, nung, thiêu"
burnt,adj,bə:nt,"bị đốt, bị cháy, khê"
burst,v,bə:st,"nổ, nổ tung (bom, đạn)"
bury,v,beri,"chôn cất, mai táng"
bus,n,bʌs,xe buýt
bush,n,bu∫,"bụi cây, bụi rậm"
business,n,bizinis,"việc buôn bán, thương mại, kinh doanh"
businessman,,bizinis,"việc buôn bán, thương mại, kinh doanh"
businesswoman,,bizinis,"việc buôn bán, thương mại, kinh doanh"
busy,adj,´bizi,"bận, bận rộn"
but,conj,bʌt,nhưng
butter,n,bʌtə,bơ
button,n,bʌtn,"cái nút, cái khuy, cúc"
buy,v,bai,mua
buyer,n,´baiə,người mua
bye,exclamation,bai,tạm biệt
cabinet,n,kæbinit,tủ có nhiều ngăn đựng đồ
cable,n,keibl,dây cáp
cake,n,keik,bánh ngọt
calculate,v,kælkjuleit,tính toán
calculation,n,",kælkju'lei∫n",sự tính toán
call,"v, n",kɔ:l,gọi
calm,"adj, v, n",kɑ:m,"yên lặng, làm dịu đi"
calmly,adv,kɑ:mli,"yên lặng, êm ả"
camera,n,kæmərə,máy ảnh
camp,"n, v",kæmp,"trại, chỗ cắm trại"
campaign,n,kæmˈpeɪn,"chiến dịch, cuộc vận động"
camping,n,kæmpiη,sự cắm trại
can,"modal, v, n",kæn,có thể
cancel,v,´kænsəl,"hủy bỏ, xóa bỏ"
cancer,n,kænsə,bệnh ung thư
candidate,n,kændidit,"người ứng cử, thí sinh, người dự thi"
candy,n,´kændi,kẹo
cap,n,kæp,"mũ lưỡi trai, mũ vải"
capable,"of, adj",keipəb(ə)l,"có tài, có năng lực"
capacity,n,kə'pæsiti,"năng lực, khả năng tiếp thu, năng suất"
capital,"n, adj",ˈkæpɪtl,"thủ đô, tiền vốn"
captain,n,kæptin,"người cầm đầu, người chỉ huy, th lĩnh"
capture,"v, n",kæptʃə,"bắt giữ, bắt"
car,n,kɑ:,xe hơi
card,n,kɑ:d,"thẻ, thiếp"
cardboard,n,´ka:d¸bɔ:d,"bìa cứng, các tông"
care,"n, v",kɛər,"sự chăm sóc, chăm nom"
career,n,kə'riə,"nghề nghiệp, sự nghiệp"
careful,adj,keəful,"cẩn thận, cẩn trọng, biết giữ gìn"
carefully,adv,´kɛəfuli,"cẩn thận, chu đáo"
careless,adj,´kɛəlis,"sơ suất, cầu thả"
carelessly,adv,´kɛəlis,"cẩu thả, bất cẩn"
carpet,n,kɑ:pit,"tấm thảm, thảm (cỏ)"
carrot,n,´kærət,củ cà rốt
carry,v,ˈkæri,"mang, vác, khuân chở"
case,n,keis,"vỏ, ngăn, túi,trường hợp, cảnh ngộ, hoàn cảnh, tình thế"
cash,n,kæʃ,"tiền, tiền mặt"
cast,"v, n",kɑ:st,"quăng, ném, thả, đánh gục"
castle,n,kɑ:sl,"thành trì, thành quách"
cat,n,kæt,con mèo
catch,v,kætʃ,"bắt lấy, nắm lấy, tóm lấy, chộp lấy"
category,n,kætigəri,"hạng, loại"
cause,"n, v",kɔ:z,"nguyên nhân, nguyên do"
cease,v,si:s,"dừng, ngưng, ngớt, thôi, hết, tạnh"
ceiling,n,ˈsilɪŋ,trần nhà
celebrate,v,selibreit,"kỷ niệm, làm lễ kỷ niệm"
celebration,n,",seli'breiʃn","sự kỷ niệm, lễ kỷ niệm"
cell,n,sel,"ô, ngăn"
cellphone,n,sel,điện thoại di động
cellular phone,n,sel,điện thoại di động
cent,,sent,đồng xu (bằng 1/100 đô la)
centimetre,n,"senti,mi:tз",xen ti mét
centimetre,n,"senti,mi:tз",xen ti met
centimeter,n,"senti,mi:tз",xen ti met
central,adj,´sentrəl,"trung tâm, ở giữa, trung ương"
centre,n,sentə,"điểm giữa, trung tâm, trung ương"
century,n,sentʃuri,thế kỷ
ceremony,n,´seriməni,"nghi thức, nghi lễ"
certain,"adj, pron",sə:tn,chắc chắn
certainly,adv,´sə:tnli,"chắc chắn, nhất định"
certificate,n,sə'tifikit,"giấy chứng nhận, bằng, chứng ch"
chain,"n, v",tʃeɪn,"dây, xích"
chair,n,tʃeə,ghế
chairman,n,"tʃeəmən, 'tʃeə,wumən","chủ tịch, chủ tọa"
chairwoman,n,"tʃeəmən, 'tʃeə,wumən","chủ tịch, chủ tọa"
challenge,"n, v",tʃælindʤ,"sự thử thách, sự thách thức"
chamber,n,ˈtʃeɪmbər,"buồng, phòng, buồng ngủ"
chance,n,"tʃæns , tʃɑ:ns","sự may rủi, sự tình cờ, ngẫu nhiên"
change,"v, n",tʃeɪndʒ,"thấy đổi, sự thấy đổi, sự biến đổi"
channel,n,tʃænl,"kênh (TV, radio), eo biển"
chapter,n,t∫æptə(r),chương (sách)
character,n,kæriktə,"tính cách, đặc tính, nhân vật"
characteristic,"adj, n",¸kærəktə´ristik,"riêng, riêng biệt, đặc trưng, đặc tính, đặc điểm"
charge,"n, v",tʃɑ:dʤ,trách
charity,n,´tʃæriti,"lòng tư thiện, lòng nhân đức"
chart,"n, v",tʃa:t,"đồ thị, biểu đồ"
chase,"v, n",tʃeis,săn bắt
chat,"v, n",tʃæt,"nói chuyện, tán gẫu"
cheap,adj,tʃi:p,rẻ
cheaply,adv,tʃi:p,"rẻ, rẻ tiền"
cheat,"v, n",tʃit,"lưa, lưa đảo"
check,"v, n",tʃek,kiểm tra
cheek,n,´tʃi:k,má
cheerful,adj,´tʃiəful,"vui mưng, phấn khởi, hồ hởi"
cheerfully,adv,´tʃiəful,"vui vẻ, phấn khởi"
cheese,n,tʃi:z,pho mát
chemical,"adj, n",ˈkɛmɪkəl,thuộc hóa học
chemist,n,´kemist,nhà hóa học
chemist’s,n,´kemist,nhà hóa học
chemistry,n,´kemistri,"hóa học, môn hóa học, ngành hóa học"
cheque,n,t∫ek,séc
chest,n,tʃest,"tủ, rương, hòm"
chew,v,tʃu:,"nhai, ngẫm nghĩ"
chicken,n,ˈtʃɪkin,"gà, gà con, thịt gà"
chief,"adj, n",tʃi:f,"trọng yếu, chính yếu"
child,n,tʃaild,"đứa bé, đứa trẻ"
chin,n,tʃin,cằm
chip,n,tʃip,"vỏ bào, mảnh vỡ, chỗ sứt, mẻ"
chocolate,n,ˈtʃɒklɪt,sô cô la
choice,n,tʃɔɪs,sự lựa chọn
choose,v,t∫u:z,"chọn, lựa chọn"
chop,v,tʃɔp,"chặt, đốn, chẻ"
church,n,tʃə:tʃ,nhà thờ
cigarette,n,¸sigə´ret,điếu thuốc lá
cinema,n,ˈsɪnəmə,"rạp xi nê, rạp chiếu bóng"
circle,n,sə:kl,"đường tròn, hình tròn"
