id,Word,POS,Pronunciation,Meaning,Syllables,Root_Word,Count
36,active,adj,æktiv,"tích cực hoạt động, nhanh nhẹn",2,active,6
37,actively,adv,æktivli,tích cực hoạt động,3,actively,8
38,activity,n,æk'tiviti,"sự tích cực, sự hoạt động, sự nhanh nhẹn, sự linh lợi",4,activity,8
39,actor,n,æktə,diễn viên nam,2,actor,5
40,actress,n,æktris,diễn viên nữ,2,actress,7
41,actual,adj,æktjuəl,"thực tế, có thật",3,actual,6
42,actually,adv,æktjuəli,"hiện nay, hiện tại",4,actually,8
43,adapt,v,ə'dæpt,"tra, lắp vào",2,adapt,5
44,add,v,æd,"cộng, thêm vào",1,add,3
45,addition,n,ə'diʃn,"tính cộng, phép cộng",3,addition,8
46,additional,adj,ə'diʃənl,"thêm vào, tăng thêm",3,additional,10
47,address,"n, v",ə'dres,"địa chỉ, đề địa chỉ",2,address,7
48,adequate,adj,ædikwit,"đầy, đầy đủ",3,adequate,8
49,adequately,adv,ædikwitli,"tương xứng, thỏa đáng",4,adequately,10
50,adjust,v,ə'dʤʌst,"sửa lại cho đúng, điều chỉnh",2,adjust,6
51,admiration,n,",ædmə'reiʃn","sự khâm phục, thán phục",5,admiration,10
52,admire,v,əd'maiə,"khâm phục, thán phục",3,admire,6
53,admit,v,əd'mit,"nhận vào, cho vào, kết hợp",2,admit,5
54,adopt,v,ə'dɔpt,"nhận làm con nuôi, bố mẹ nuôi",2,adopt,5
55,adult,n,ædʌlt,"người lớn, người trưởng thành",2,adult,5
56,adult,adj,ædʌlt,trưởng thành,2,adult,5
57,advance,n,əd'vɑ:ns,"sự tiến bộ, tiến lên",2,advance,7
58,advance,v,əd'vɑ:ns,"đưa lên, đề xuat",2,advance,7
59,advanced,adj,əd'vɑ:nst,"tiên tiến, tiến bộ, cấp cao",2,advance,8
60,advantage,n,əb'vɑ:ntidʤ,"sự thuận lợi, lợi ích, lợi thế",3,advantage,9
61,adventure,n,əd'ventʃə,"sự phiêu lưu, mạo hiểm",3,adventure,9
62,advertise,v,ædvətaiz,"báo cho biết, báo cho biết trước",3,advertise,9
63,advertisement,n,əd'və:tismənt,quảng cáo,4,advertisement,13
64,advertising,n,əd'və:tismənt,"sự quảng cáo, nghề quảng cáo",4,advertise,11
65,advice,n,əd'vais,"lời khuyên, lời chỉ bảo",2,advice,6
66,advise,v,əd'vaiz,"khuyên, khuyên bảo, răn bảo",2,advise,6
67,affair,n,ə'feə,việc,2,affair,6
68,affect,v,ə'fekt,"làm ảnh hưởng, tác động đến",2,affect,6
69,affection,n,ə'fekʃn,"tình cảm, sự yêu mến",3,affection,9
70,afford,v,ə'fɔ:d,"có thể, có đủ khả năng, điều kiện (làm gì)",2,afford,6
71,afraid,adj,ə'freid,"sợ, sợ hãi, hoảng sợ",3,afraid,6
72,after,"prep, conj, adv",ɑ:ftə,"sau, đằng sau, sau khi",2,after,5
73,afternoon,n,ɑ:ftə'nu:n,buổi chiều,3,afternoon,9
74,afterwards,adv,ɑ:ftəwəd,"sau này, về sau, rồi thì, sau đây",3,afterwards,10
75,again,adv,ə'gen,"lại, nữa, lần nữa",2,again,5
76,against,prep,ə'geinst,"chống lại, phản đối",3,against,7
77,age,n,eidʤ,tuổi,2,age,3
78,aged,adj,eidʤid,già đi,3,aged,4
79,agency,n,eidʤənsi,"tác dụng, lực",4,agency,6
80,agent,n,eidʤənt,"đại lý, tác nhân",3,agent,5
81,aggressive,adj,ə'gresiv,"xâm lược, hung hăng, xông xáo",3,aggressive,10
82,ago,adv,ə'gou,trước đây,2,ago,3
83,agree,v,ə'gri:,"đồng ý, tán thành",2,agree,5
84,agreement,n,ə'gri:mənt,"sự đồng ý, tán thành",3,agreement,9
85,ahead,adv,ə'hed,"trước, về phía trước",2,ahead,5
86,aid,n,eid,sự giúp đỡ,2,aid,3
87,aid,v,eid,"thêm vào, phụ vào",2,aid,3
88,aim,n,eim,"sự nhắm (bắn), mục tiêu, ý định",2,aim,3
89,aim,v,eim,"nhắm, tập trung, hướng vào",2,aim,3
90,air,n,eə,"không khí, bầu không khí, không gian",1,air,3
91,aircraft,n,eəkrɑ:ft,"máy bay, khí cầu",2,aircraft,8
92,airport,n,eəkrɑ:ft,"sân bay, phi trường",2,airport,7
93,alarm,"n, v",ə'lɑ:m,"báo động, báo nguy",2,alarm,5
94,alarmed,adj,ə'lɑ:m,báo động,2,alarm,7
95,alarming,adj,ə'lɑ:miɳ,"làm lo sợ, làm hốt hoảng, làm sợ hãi",3,alarm,8
96,alcohol,n,ælkəhɔl,rượu cồn,3,alcohol,7
97,alcoholic,adj,",ælkə'hɔlik",rượu,4,alcoholic,9
98,alcoholic,n,",ælkə'hɔlik",người nghiện rượu,4,alcoholic,9
99,alive,adj,ə'laiv,"sống, vẫn còn sống, còn tồn tại",2,alive,5
100,all,"pron, adv",ɔ:l,tất cả,1,all,3
101,allied,adj,ə'laid,"liên minh, đồng minh, thông gia",2,ally,6
102,allow,v,ə'lau,"cho phép, để cho",2,allow,5
103,ally,n,æli,"nước đồng minh, liên minh",2,ally,4
104,ally,v,æli,"liên kết, kết thông gia",2,ally,4
105,almost,adv,ɔ:lmoust,"hầu như, gần như",2,almost,6
106,alone,"adj, adv",ə'loun,"cô đơn, một mình",2,alone,5
107,along,prep,ə'lɔɳ,"dọc theo, theo",2,along,5
108,along,adv,ə'lɔɳ,"theo chiều dài, suốt theo",2,along,5
109,alongside,"prep, adv",ə'lɔɳ'said,"sát cạnh, kế bên, dọc theo",3,alongside,9
110,aloud,adv,ə'laud,"lớn tiếng, to tiếng",2,aloud,5
111,alphabet,n,ælfəbit,"bảng chữ cái, bước đầu, điều cơ bản",3,alphabet,8
112,alphabetical,adj,",æflə'betikl",thuộc bảng chứ cái,5,alphabetical,12
113,alphabetically,adv,",ælfə'betikəli",theo thứ tự abc,6,alphabetically,14
114,already,adv,ɔ:l'redi,"đã, rồi, đã… rồi",3,already,7
115,also,adv,ɔ:lsou,"cũng, cũng vậy, cũng thế",2,also,4
116,alter,v,ɔ:ltə,"thay đổi, biến đổi, sửa đổi",2,alter,5
117,alternative,n,ɔ:l'tə:nətiv,sự lựa chọn,4,alternative,11
118,alternative,adj,ɔ:l'tə:nətiv,lựa chọn,4,alternative,11
119,alternatively,adv,ɔ:l'tə:nətiv,như một sự lựa chọn,4,alternatively,13
120,although,conj,ɔ:l'ðou,"mặc dù, dẫu cho",2,although,8
121,altogether,adv,",ɔ:ltə'geðə","hoàn toàn, hầu như",4,altogether,10
122,always,adv,ɔ:lwəz,luôn luôn,2,always,6
123,amaze,v,ə'meiz,"làm ngạc nhiên, làm sửng sốt",3,amaze,5
124,amazed,adj,ə'meiz,"kinh ngạc, sửng sốt",3,amazed,6
125,amazing,adj,ə'meiziɳ,"kinh ngạc, sửng sốt",4,amazing,7
126,ambition,n,æm'biʃn,"hoài bão, khát vọng",3,ambition,8
127,ambulance,n,æmbjuləns,"xe cứu thương, xe cấp cứu",3,ambulance,9
128,among,prep,ə'mʌɳ,"giữa, ở giữa",2,among,5
129,amongst,prep,ə'mʌɳ,"giữa, ở giữa",2,amongst,7
130,amount,n,ə'maunt,"số lượng, số nhiều",2,amount,6
131,amount,v,ə'maunt,lên tới (money),2,amount,6
132,amuse,v,ə'mju:z,"làm cho vui, thích, làm buồn cười",2,amuse,5
133,amused,adj,ə'mju:zd,vui thích,2,amuse,6
134,amusing,adj,ə'mju:ziɳ,vui thích,3,amusing,7
135,analyse,v,ænəlaiz,phân tích,3,analyse,7
136,analyze,v,ænəlaiz,phân tích,3,analyze,7
137,analysis,n,ə'næləsis,sự phân tích,4,analysis,8
138,ancient,adj,einʃənt,"xưa, cổ",3,ancient,7
139,anger,n,æɳgə,"sự tức giận, sự giận dữ",2,anger,5
140,angle,n,æɳgl,góc,2,angle,5
141,angrily,adv,æɳgrili,"tức giận, giận dữ",3,angrily,7
142,angry,adj,æɳgri,"giận, tức giận",2,angry,5
143,animal,n,æniməl,"động vật, thú vật",3,animal,6
144,ankle,n,æɳkl,mắt cá chân,2,ankle,5
145,anniversary,n,",æni'və:səri","ngày, lễ kỉ niệm",5,anniversary,11
146,announce,v,ə'nauns,"báo, thông báo",2,announce,8
147,annoy,v,ə'nɔi,"chọc tức, làm bực mình",3,annoy,5
148,annoyed,adj,ə'nɔid,"bị khó chịu, bực mình, bị quấy rầy",3,annoyed,7
149,annoying,adj,ə'nɔiiɳ,"chọc tức, làm bực mình",4,annoying,8
150,annual,adj,ænjuəl,"hàng năm, từng năm",3,annual,6
151,annually,adv,ænjuəli,"hàng năm, từng năm",4,annually,8
152,another,"det, pron",ə'nʌðə,khác,3,another,7
153,answer,n,ɑ:nsə,sự trả lời,2,answer,6
154,answer,v,ɑ:nsə,trả lời,2,answer,6
155,anti,prefix,ˈænti,chống lại,2,anti,4
156,anticipate,v,æn'tisipeit,"thấy trước, chặn trước, lường trước",5,anticipate,10
157,anxiety,n,æɳ'zaiəti,"mối lo âu, sự lo lắng",4,anxiety,7
158,anxious,adj,æɳkʃəs,"lo âu, lo lắng, băn khoăn",2,anxious,7
159,anxiously,adv,æɳkʃəsli,"lo âu, lo lắng, băn khoăn",3,anxiously,9
160,anyway,adv,eniwei,"thế nào cũng được, dù sấo chăng nữa",4,anyway,6
161,anywhere,adv,eniweə,"bất cứ chỗ nào, bất cứ nơi đâu",3,anywhere,8
162,apart,adv,ə'pɑ:t,"về một bên, qua một bên",2,apart,5
163,apart,prep,ə'pɑ:t,ngoài ra,2,apart,5
164,aside,prep,əˈsīd,ngoài ra,1,aside,5
165,apartment,n,ə'pɑ:tmənt,"căn phòng, căn buồng",3,apartment,9
166,apologize,v,ə'pɔlədʤaiz,"xin lỗi, tạ lỗi",4,apologize,9
167,apparent,adj,ə'pærənt,"rõ ràng, rành mạch",3,apparent,8
168,apparently,adv,ə'pærənt,"nhìn bên ngoài, hình như",3,apparently,10
169,appeal,n,ə'pi:l,"sự kêu gọi, lời kêu gọi",2,appeal,6
170,appeal,v,ə'pi:l,"kêu gọi, cầu khẩn",2,appeal,6
171,appear,v,ə'piə,"xuất hiện, hiện ra, trình diện",3,appear,6
172,appearance,n,ə'piərəns,"sự xuất hiện, sự trình diện",4,appearance,10
173,apple,n,æpl,quả táo,2,apple,5
174,application,n,",æpli'keiʃn","sự gắn vào, vật gắn vào",5,application,11
175,apply,v,ə'plai,"gắn vào, ghép vào, áp dụng vào",2,apply,5
176,appoint,v,ə'pɔint,"bổ nhiệm, chỉ định, chọn",3,appoint,7
177,appointment,n,ə'pɔintmənt,"sự bổ nhiệm, người được bổ nhiệm",4,appointment,11
178,appreciate,v,ə'pri:ʃieit,thấy rõ,5,appreciate,10
179,approach,v,ə'proutʃ,"đến gần, lại gần",2,approach,8
180,approach,n,ə'proutʃ,"sự đến gần, sự lại gần",2,approach,8
181,appropriate,adj,ə'proupriit,"thích hợp, thích đáng",4,appropriate,11
182,approval,n,ə'pru:vəl,"sự tán thành, đồng ý, sự chấp thuận",3,approval,8
183,approve,v,ə'pru:v,"tán thành, đồng ý, chấp thuận",2,approve,7
184,approving,adj,ə'pru:viɳ,"tán thành, đồng ý, chấp thuận",3,approve,9
185,approximate,"adj, v",ə'prɔksimit,"giống với, giống hệt với",4,approximate,11
186,approximately,adv,ə'prɔksimitli,"khoảng chừng, độ chừng",5,approximately,13
187,April,n,eiprəl,tháng Tư,3,April,5
188,area,n,eəriə,"diện tích, bề mặt",3,area,4
189,argue,v,ɑ:gju:,"chứng tỏ, chỉ rõ",2,argue,5
190,argument,n,ɑ:gjumənt,lý lẽ,3,argument,8
191,arise,v,ə'raiz,"xuất hiện, nảy ra, nảy sinh ra",2,arise,5
192,arm,n,ɑ:m,cánh tay,1,arm,3
193,arm,v,ɑ:m,"vũ trang, trang bị (vũ khí)",1,arm,3
194,armed,adj,ɑ:md,vũ trang,1,arm,5
195,arms,n,ɑ:md,"vũ khí, binh giới, binh khí",1,arm,4
196,army,n,ɑ:mi,quân đội,2,army,4
197,around,"adv, prep",ə'raund,"xung quanh, vòng quanh",2,around,6
198,arrange,v,ə'reindʤ,"sắp xếp, sắp đặt, sửa soạn",3,arrange,7
199,arrangement,n,ə'reindʤmənt,"sự sắp xếp, sắp đặt, sự sửa soạn",4,arrangement,11
200,arrest,"v, n",ə'rest,"bắt giữ, sự bắt giữ",2,arrest,6
201,arrival,n,ə'raivəl,"sự đến, sự tới nơi",3,arrival,7
202,arrive,v,ə'raiv,"đến, tới nơi",2,arrive,6
203,arrow,n,ærou,"tên, mũi tên",2,arrow,5
204,art,n,ɑ:t,"nghệ thuật, mỹ thuật",1,art,3
205,article,n,ɑ:tikl,"bài báo, đề mục",3,article,7
206,artificial,adj,",ɑ:ti'fiʃəl",nhân tạo,4,artificial,10
207,artificially,adv,",ɑ:ti'fiʃəli",nhân tạo,5,artificially,12
208,artist,n,ɑ:tist,nghệ sĩ,2,artist,6
209,artistic,adj,ɑ:'tistik,"thuộc nghệ thuật, thuộc mỹ thuật",3,artistic,8
210,ashamed,adj,ə'ʃeimd,"ngượng, xấu hổ",3,ashame,7
211,aside,adv,ə'said,"về một bên, sang một bên",2,aside,5
212,ask,v,ɑ:sk,hỏi,1,ask,3
213,asleep,adj,ə'sli:p,"ngủ, đang ngủ",2,asleep,6
214,aspect,n,æspekt,"vẻ bề ngoài, diện mạo",2,aspect,6
215,assist,v,ə'sist,"giúp, giúp đỡ",2,assist,6
216,assistance,n,ə'sistəns,sự giúp đỡ,3,assistance,10
217,assistant,n,ə'sistənt,"người giúp đỡ, người phụ tá",3,assistant,9
218,assistant,adj,ə'sistənt,giúp đỡ,3,assistant,9
219,associate,v,ə'souʃiit,"kết giao, liên kết, kết hợp, cho cộng tác",4,associate,9
220,association,n,"ə,sousi'eiʃn","sự kết hợp, sự liên kết",6,association,11
221,assume,v,ə'sju:m,"mang, khoác, có, lấy (cái vẻ, tính chất…)",2,assume,6
222,assure,v,ə'ʃuə,"đảm bảo, cấm đoán",3,assure,6
223,atmosphere,n,ætməsfiə,khí quyển,4,atmosphere,10
224,atom,n,ætəm,nguyên tử,2,atom,4
225,attach,v,ə'tætʃ,"gắn, dán, trói, buộc",2,attach,6
226,attached,adj,ə'tætʃ,gắn bó,2,attach,8
227,attack,n,ə'tæk,"sự tấn công, sự công kích",2,attack,6
228,attack,v,ə'tæk,"tấn công, công kích",2,attack,6
229,attempt,n,ə'tempt,"sự cố gắng, sự thử",2,attempt,7
230,attempt,v,ə'tempt,"cố gắng, thử",2,attempt,7
231,attempted,adj,ə'temptid,"cố gắng, thử",3,attempt,9
232,attend,v,ə'tend,"dự, có mặt",2,attend,6
233,attention,n,ə'tenʃn,sự chú ý,3,attention,9
234,attitude,n,ætitju:d,"thái độ, quan điểm",3,attitude,8
235,attorney,n,ə'tə:ni,người được ủy quyền,3,attorney,8
236,attract,v,ə'trækt,hút,2,attract,7
237,attraction,n,ə'trækʃn,"sự hút, sức hút",3,attraction,10
238,attractive,adj,ə'træktiv,"hút, thu hút, có duyên, lôi cuốn",3,attractive,10
239,audience,n,ɔ:djəns,"thính, khan giả",2,audience,8
240,August,n,ɔ:gəst - ɔ:'gʌst,tháng Tám,4,August,6
241,aunt,n,ɑ:nt,"cô, dì",1,aunt,4
242,author,n,ɔ:θə,tác giả,2,author,6
243,authority,n,ɔ:'θɔriti,"uy quyền, quyền lực",4,authority,9
244,automatic,adj,",ɔ:tə'mætik",tự động,4,automatic,9
245,automatically,adv,",ɔ:tə'mætik",một cách tự động,4,automatically,13
246,autumn,n,ɔ:təm,mùa thu,2,autumn,6
247,available,adj,ə'veiləbl,"có thể dùng được, có giá trị, hiệu lực",5,available,9
248,average,"adj, n",ævəridʤ,"trung bình, số trung bình, mức trung bình",3,average,7
249,avoid,v,ə'vɔid,"tránh, tránh xa",3,avoid,5
250,awake,adj,ə'weik,"đánh thức, làm thức dậy",3,awake,5
251,award,n,ə'wɔ:d,phần thưởng,2,award,5
252,award,v,ə'wɔ:d,"tặng, thưởng",2,award,5
253,aware,adj,ə'weə,"biết, nhận thức, nhận thức thấy",2,aware,5
254,away,adv,ə'wei,"xa, xa cách, rời xa, đi xa",3,away,4
255,awful,adj,ɔ:ful,"oai nghiêm, dễ sợ",2,awful,5
256,awfully,adv,ɔ:ful,"tàn khốc, khủng khiếp",2,awfully,7
257,awkward,adj,ɔ:kwəd,"vụng về, lung túng",2,awkward,7
258,awkwardly,adv,ɔ:kwəd,"vụng về, lung túng",2,awkwardly,9
259,back,"n, adj, adv, v",bæk,"lưng, sau, về phía sau, trở lại",1,back,4
260,background,n,bækgraund,phía sau,2,background,10
261,backward,adj,bækwəd,"về phía sau, lùi lại",2,backward,8
262,backwards,adv,bækwədz,ngược,2,backwards,9
263,bacteria,n,bæk'tiəriəm,vi khuẩn,5,bacteria,8
264,bad,adj,bæd,"xấu, tồi",1,bad,3
265,badly,adv,bædli,"xấu, tồi",2,badly,5
266,bag,n,bæg,"bao, túi, cặp xách",1,bag,3
267,baggage,n,bædidʤ,hành lý,2,baggage,7
268,bake,v,beik,"nung, nướng bằng lò",2,bake,4
269,balance,n,bæləns,cái cân,2,balance,7
270,balance,v,bæləns,"làm cho cân bằng, tương xứng",2,balance,7
271,ball,n,bɔ:l,quả bóng,1,ball,4
272,ban,v,bæn,"cấm, cấm chỉ",1,ban,3
273,ban,n,bæn,sự cấm,1,ban,3
274,band,n,bænd,"băng, đai, nẹp",1,band,4
275,bandage,n,bændidʤ,dải băng,2,bandage,7
276,bandage,v,bændidʤ,băng bó,2,bandage,7
277,bank,n,bæɳk,"bờ (sông…) , đê",1,bank,4
278,bar,n,bɑ:,quán bán rượu,1,bar,3
279,bargain,n,bɑ:gin,"sự mặc cả, sự giao kèo mua bán",2,bargain,7
280,barrier,n,bæriə,đặt chướng ngại vật,3,barrier,7
281,base,n,beis,"cơ sở, cơ bản, nền móng",2,base,4
282,base,v,beis,"đặt tên, đặt cơ sở trên cái gì",2,base,4
283,basic,adj,beisik,"cơ bản, cơ sở",3,basic,5
284,basically,adv,beisikəli,"cơ bản, về cơ bản",5,basically,9
285,basis,n,beisis,"nền tảng, cơ sở",3,basis,5
286,bath,n,bɑ:θ,sự tắm,1,bath,4
287,bathroom,n,bɑ:θ,"buồng tắm, nhà vệ sinh",1,bathroom,8
288,battery,n,bætəri,"pin, ắc quy",3,battery,7
289,battle,n,bætl,"trận đánh, chiến thuật",2,battle,6
290,bay,n,bei,"gian (nhà), nhịp (cầu), chuồng (ngựa)",2,bay,3
291,beach,n,bi:tʃ,bãi biển,1,beach,5
292,beak,n,bi:k,mỏ chim,1,beak,4
293,bear,v,beə,"mang, cầm, vác, đeo, ôm",1,bear,4
294,beard,n,biəd,râu,2,beard,5
295,beat,n,bi:t,"tiếng đập, sự đập",1,beat,4
296,beat,v,bi:t,"đánh đập, đấm",1,beat,4
297,beautiful,adj,bju:təful,đẹp,3,beautiful,9
298,beautifully,adv,bju:təfuli,"tốt đẹp, đáng hài lòng",4,beautifully,11
299,beauty,n,bju:ti,"vẻ đẹp, cái đẹp",2,beauty,6
300,because,conj,bi'kɔz,"bởi vì, vì",2,because,7
301,become,v,bi'kʌm,"trở thành, trở nên",2,become,6
302,bed,n,bed,cái giường,1,bed,3
303,bedroom,n,bedrum,phòng ngủ,2,bedroom,7
304,beef,n,bi:f,thịt bò,1,beef,4
305,beer,n,bi:ə,rượu bia,2,beer,4
306,before,"prep, conj, adv",bi'fɔ:,"trước, đằng trước",2,before,6
307,begin,v,bi'gin,"bắt đầu, khởi đầu",2,begin,5
308,beginning,n,bi'giniɳ,"phần đầu, lúc bắt đầu, lúc khởi đầu",3,begin,9
309,behalf,n,bi:hɑ:f,sự thay mặt,2,behalf,6
310,behave,v,bi'heiv,"đối xử, ăn ở, cư xử",3,behave,6
311,behaviour,n,bi'heiv,"thái độ, cách đối xử",3,behaviour,9
312,behavior,n,bi'heiv,"thái độ, cách đối xử",3,behavior,8
313,behind,"prep, adv",bi'haind,"sau, ở đằng sau",2,behind,6
314,belief,n,bi'li:f,"lòng tin, đức tin, sự tin tưởng",2,belief,6
315,believe,v,bi'li:v,"tin, tin tưởng",2,believe,7
316,bell,n,bel,"cái chuông, tiếng chuông",1,bell,4
317,belong,v,bi'lɔɳ,"thuộc về, của, thuộc quyền sở hữu",2,belong,6
318,below,"prep, adv",bi'lou,"ở dưới, dưới thấp, phía dưới",2,below,5
319,belt,n,belt,"dây lưng, thắt lưng",1,belt,4
320,bend,"v, n",bentʃ,"chỗ rẽ, chỗ uốn",1,bend,4
321,beneath,"prep, adv",bi'ni:θ,"ở dưới, dưới thấp",2,beneath,7
322,benefit,n,benifit,"lợi, lợi ích",3,benefit,7
323,benefit,v,benifit,"giúp ích, làm lợi cho",3,benefit,7
324,bent,adj,bent,"khiếu, sở thích, khuynh hướng",1,bent,4
325,beside,prep,bi'said,"bên cạnh, so với",2,beside,6
326,bet,v,bet,"đánh cuộc, cá cược",1,bet,3
327,bet,n,bet,sự đánh cuộc,1,bet,3
328,better,adj,betə,"tốt hơn, tốt nhất",2,well,6
329,best,adj,best,"tốt hơn, tốt nhất",1,well,4
330,betting,n,beting,sự đánh cuộc,2,bet,7
331,between,"prep, adv",bi'twi:n,"giữa, ở giữa",2,between,7
332,beyond,"prep, adv",bi'jɔnd,"ở xa, phía bên kia",2,beyond,6
333,bicycle,n,baisikl,xe đạp,3,bicycle,7
334,bid,v,bid,"đặt giá, trả giá",1,bid,3
335,bid,n,bid,"sự đặt giá, sự trả giá",1,bid,3
336,big,adj,big,"to, lớn",1,big,3
337,bill,n,bil,"hóa đơn, giấy bạc",1,bill,4
338,bin,n,bin,"thùng, thùng đựng rượu",1,bin,3
339,biology,n,bai'ɔlədʤi,sinh vật học,4,biology,7
340,bird,n,bə:d,chim,1,bird,4
341,birth,n,bə:θ,"sự ra đời, sự sinh đẻ",1,birth,5
342,birthday,n,bə:θdei,"ngày sinh, sinh nhật",3,birthday,8
343,biscuit,n,biskit,bánh quy,2,biscuit,7
344,bit,n,bit,"miếng, mảnh",1,bit,3
345,bite,v,bait,"cắn, ngoạm",1,bite,4
346,bite,n,bait,"sự cắn, sự ngoạm",1,bite,4
347,bitter,adj,bitə,đắng,2,bitter,6
348,bitterly,adv,bitəli,"đắng, đắng cay, chua xót",3,bitterly,8
349,black,adj,blæk,đen,1,black,5
350,black,n,blæk,màu đen,1,black,5
351,blade,n,bleid,"lưỡi (dao, kiếm)",2,blade,5
352,blame,v,bleim,"khiển trách, mắng trách",2,blame,5
353,blame,n,bleim,"sự khiển trách, sự mắng trách",2,blame,5
354,blank,adj,blæɳk,"trống, để trắng",1,blank,5
355,blank,n,blæɳk,sự trống rỗng,1,blank,5
356,blankly,adv,blæɳkli,"ngây ra, không có thần",2,blankly,7
357,blind,adj,blaind,"đui, mù",1,blind,5
358,block,n,blɔk,"khối, tảng (đá)",1,block,5
359,block,v,blɔk,"làm ngăn cản, ngăn chặn",1,block,5
360,blonde,"adj, n",blɔnd,"hoe vàng, mái tóc hoe vàng (nữ giới)",1,blonde,6
361,blood,n,blʌd,"máu, huyết",1,blood,5
362,blow,v,blou,nở hoa,1,blow,4
363,blow,n,blou,sự nở hoa,1,blow,4
364,blue,"adj, n",blu:,"xanh, màu xanh",1,blue,4
365,board,n,bɔ:d,tấm ván,1,board,5
366,board,v,bɔ:d,"lát ván, lót ván",1,board,5
367,boat,n,bout,"tàu, thuyền",1,boat,4
368,body,n,bɔdi,"thân thể, thân xác",2,body,4
369,boil,v,bɔil,"sôi, luộc",2,boil,4
370,bomb,n,bɔm,quả bom,1,bomb,4
371,bomb,v,bɔm,"oánh bom, thả bom",1,bomb,4
372,bone,n,boun,xương,1,bone,4
373,book,n,buk,sách,1,book,4
374,book,v,buk,ghi chép,1,book,4
375,boot,n,bu:t,giày ống,1,boot,4
376,border,n,bɔ:də,"bờ, mép, vỉa, lề (đường)",2,border,6
377,bore,v,bɔ:,"buồn chán, buồn tẻ",1,bore,4
378,bored,adj,bɔ:,buồn chán,1,bore,5
379,boring,adj,bɔ:riɳ,buồn chán,2,bore,6
380,born,v,bɔ:n,"sinh, đẻ",1,bear,4
381,borrow,v,bɔrou,"vay, mượn",2,borrow,6
382,boss,n,bɔs,"ông chủ, thủ trưởng",1,boss,4
383,both,"det, pron",bouθ,cả hai,1,both,4
384,bother,v,bɔðə,"làm phiền, quấy rầy, làm bực mình",2,bother,6
385,bottle,n,bɔtl,"chai, lọ",2,bottle,6
386,bottom,n,bɔtəm,"phần dưới cùng, thấp nhất",2,bottom,6
387,bottom,adj,bɔtəm,"cuối, cuối cùng",2,bottom,6
388,bound,adj,baund,"nhất định, chắc chắn",1,bind,5
389,bowl,n,boul,cái bát,1,bowl,4
390,box,n,bɔks,"hộp, thùng",1,box,3
391,boy,n,bɔi,"con trai, thiếu niên",2,boy,3
392,boyfriend,n,bɔi,bạn trai,2,boyfriend,9
393,brain,n,brein,óc não,2,brain,5
394,branch,n,brɑ:ntʃ,ngành,1,branch,6
