Word,POS,Pronunciation,Meaning
adult,n,ædʌlt,"người lớn, người trưởng thành"
adult,adj,ædʌlt,trưởng thành
advance,n,əd'vɑ:ns,"sự tiến bộ, tiến lên"
advance,v,əd'vɑ:ns,"đưa lên, đề xuat"
advanced,adj,əd'vɑ:nst,"tiên tiến, tiến bộ, cap cao. in advance trước, sớm"
advantage,n,əb'vɑ:ntidʤ,"sự thuận lợi, lợi ích, lợi thế. take advantage of lợi dụng"
adventure,n,əd'ventʃə,"sự phiêu lưu, mạo hiểm"
advertise,v,ædvətaiz,"báo cho biết, báo cho biết trước"
advertisement,n,əd'və:tismənt,quảng cáo
advertising,n,əd'və:tismənt,"sự quảng cáo, nghề quảng cáo"
advice,n,əd'vais,"lời khuyên, lời chỉ bảo"
advise,v,əd'vaiz,"khuyên, khuyên bảo, răn bảo"
affair,n,ə'feə,việc
affect,v,ə'fekt,"làm ảnh hưởng, tác động đến"
affection,n,ə'fekʃn,"tình cảm, sự yêu mến"
afford,v,ə'fɔ:d,"có thể, có đủ khả năng, điều kiện (làm gì)"
afraid,adj,ə'freid,"sợ, sợ hãi, hoảng sợ"
after,"prep, conj, adv",ɑ:ftə,"sau, đằng sau, sau khi"
afternoon,n,ɑ:ftə'nu:n,buổi chiều
afterwards,adv,ɑ:ftəwəd,"sau này, về sau, rồi thì, sau đây"
again,adv,ə'gen,"lại, nữa, lần nữa"
against,prep,ə'geinst,"chống lại, phản đối"
age,n,eidʤ,tuổi
aged,adj,eidʤid,già đi
agency,n,eidʤənsi,"tác dụng, lực; môi giới, trung gian"
agent,n,eidʤənt,"đại lý, tác nhân"
aggressive,adj,ə'gresiv,"xâm lược, hung hăng (US: xông xáo)"
ago,adv,ə'gou,trước đây
agree,v,ə'gri:,"đồng ý, tán thành"
agreement,n,ə'gri:mənt,"sự đồng ý, tán thành; hiệp định, hợp đồng"
ahead,adv,ə'hed,"trước, về phía trước"
aid,n,eid,sự giúp đỡ
aid,v,eid,"thêm vào, phụ vào"
aim,n,eim,"sự nhắm (bắn), mục tiêu, ý định"
aim,v,eim,"nhắm, tập trung, hướng vào"
air,n,eə,"không khí, bầu không khí, không gian"
aircraft,n,eəkrɑ:ft,"máy bay, khí cầu"
airport,n,eəkrɑ:ft,"sân bay, phi trường"
alarm,"n, v",ə'lɑ:m,"báo động, báo nguy"
alarmed,adj,ə'lɑ:m,báo động
alarming,adj,ə'lɑ:miɳ,"làm lo sợ, làm hốt hoảng, làm sợ hãi"
alcohol,n,ælkəhɔl,rượu cồn
alcoholic,adj,",ælkə'hɔlik",rượu
alcoholic,n,",ælkə'hɔlik",người nghiện rượu
alive,adj,ə'laiv,"sống, vẫn còn sống, còn tồn tại"
all,"pron, adv",ɔ:l,tất cả
all right,adj,ɔ:l'rait,"tốt, ổn, khỏe mạnh"
all right,adv,ɔ:l'rait,được
allied,adj,ə'laid,"liên minh, đồng minh, thông gia"
allow,v,ə'lau,"cho phép, để cho"
ally,n,æli,"nước đồng minh, liên minh"
ally,v,æli,"liên kết, kết thông gia"
almost,adv,ɔ:lmoust,"hầu như, gần như"
alone,"adj, adv",ə'loun,"cô đơn, một mình"
along,prep,ə'lɔɳ,"dọc theo, theo"
along,adv,ə'lɔɳ,"theo chiều dài, suốt theo"
alongside,"prep, adv",ə'lɔɳ'said,"sát cạnh, kế bên, dọc theo"
aloud,adv,ə'laud,"lớn tiếng, to tiếng"
alphabet,n,ælfəbit,"bảng chữ cái, bước đầu, điều cơ bản"
alphabetical,adj,",æflə'betikl",thuộc bảng chứ cái
alphabetically,adv,",ælfə'betikəli",theo thứ tự abc
already,adv,ɔ:l'redi,"đã, rồi, đã… rồi"
also,adv,ɔ:lsou,"cũng, cũng vậy, cũng thế"
alter,v,ɔ:ltə,"thay đổi, biến đổi, sửa đổi"
alternative,n,ɔ:l'tə:nətiv,sự lựa chọn
alternative,adj,ɔ:l'tə:nətiv,lựa chọn
alternatively,adv,ɔ:l'tə:nətiv,như một sự lựa chọn
although,conj,ɔ:l'ðou,"mặc dù, dẫu cho"
altogether,adv,",ɔ:ltə'geðə","hoàn toàn, hầu như; nói chung"
always,adv,ɔ:lwəz,luôn luôn
amaze,v,ə'meiz,"làm ngạc nhiên, làm sửng sốt"
amazed,adj,ə'meiz,"kinh ngạc, sửng sốt"
amazing,adj,ə'meiziɳ,"kinh ngạc, sửng sốt"
ambition,n,æm'biʃn,"hoài bão, khát vọng"
ambulance,n,æmbjuləns,"xe cứu thương, xe cấp cứu"
among,prep,ə'mʌɳ,"giữa, ở giữa"
amongst,prep,ə'mʌɳ,"giữa, ở giữa"
amount,n,ə'maunt,"số lượng, số nhiều"
amount,v,ə'maunt,lên tới (money)
amuse,v,ə'mju:z,"làm cho vui, thích, làm buồn cười"
amused,adj,ə'mju:zd,vui thích
amusing,adj,ə'mju:ziɳ,vui thích
analyse,v,ænəlaiz,phân tích
analyze,v,ænəlaiz,phân tích
analysis,n,ə'næləsis,sự phân tích
ancient,adj,einʃənt,"xưa, cổ"
and,conj,"ænd, ənd, ən",và
anger,n,æɳgə,"sự tức giận, sự giận dữ"
angle,n,æɳgl,góc
angrily,adv,æɳgrili,"tức giận, giận dữ"
angry,adj,æɳgri,"giận, tức giận"
animal,n,æniməl,"động vật, thú vật"
ankle,n,æɳkl,mắt cá chân
anniversary,n,",æni'və:səri","ngày, lễ kỉ niệm"
announce,v,ə'nauns,"báo, thông báo"
annoy,v,ə'nɔi,"chọc tức, làm bực mình; làm phiền, quẫy nhiễu"
annoyed,adj,ə'nɔid,"bị khó chịu, bực mình, bị quấy rầy"
annoying,adj,ə'nɔiiɳ,"chọc tức, làm bực mình; làm phiền, quấy nhiễu"
annual,adj,ænjuəl,"hàng năm, từng năm"
annually,adv,ænjuəli,"hàng năm, từng năm"
another,"det, pron",ə'nʌðə,khác
answer,n,ɑ:nsə,sự trả lời
answer,v,ɑ:nsə,trả lời
anti,prefix,ˈænti,chống lại
anticipate,v,æn'tisipeit,"thấy trước, chặn trước, lường trước"
anxiety,n,æɳ'zaiəti,"mối lo âu, sự lo lắng"
anxious,adj,æɳkʃəs,"lo âu, lo lắng, băn khoăn"
anxiously,adv,æɳkʃəsli,"lo âu, lo lắng, băn khoăn"
any,det,ˈeni,"một người, vật nào đó"
any,pron,ˈeni,bất cứ
any,adv,ˈeni,"một chút nào, tí nào"
anyone (anybody),pron,eniwʌn,"người nào, bất cứ ai"
anything,pron,eniθiɳ,"việc gì, vật gì; bất cứ việc gì, vật gì"
anyway,adv,eniwei,"thế nào cũng được, dù sấo chăng nữa"
anywhere,adv,eniweə,"bất cứ chỗ nào, bất cứ nơi đâu"
apart,adv,ə'pɑ:t,"về một bên, qua một bên"
apart from,prep,ə'pɑ:t,ngoài… ra
apart from,prep,ə'pɑ:t,ngoài ra
aside from,prep,ə'pɑ:t,ngoài ra
apartment,n,ə'pɑ:tmənt,"căn phòng, căn buồng"
apologize,v,ə'pɔlədʤaiz,"xin lỗi, tạ lỗi"
apparent,adj,ə'pærənt,"rõ ràng, rành mạch; bề ngoài, có vẻ"
apparently,adv,ə'pærənt,"nhìn bên ngoài, hình như"
appeal,n,ə'pi:l,"sự kêu gọi, lời kêu gọi"
appeal,v,ə'pi:l,"kêu gọi, cầu khẩn"
appear,v,ə'piə,"xuất hiện, hiện ra, trình diện"
appearance,n,ə'piərəns,"sự xuất hiện, sự trình diện"
apple,n,æpl,quả táo
application,n,",æpli'keiʃn","sự gắn vào, vật gắn vào; sự chuyên cần, chuyên tâm"
apply,v,ə'plai,"gắn vào, ghép vào, áp dụng vào"
appoint,v,ə'pɔint,"bổ nhiệm, chỉ định, chọn"
appointment,n,ə'pɔintmənt,"sự bổ nhiệm, người được bổ nhiệm"
appreciate,v,ə'pri:ʃieit,thấy rõ; nhận thức
approach,v,ə'proutʃ,"đến gần, lại gần"
approach,n,ə'proutʃ,"sự đến gần, sự lại gần"
appropriate (to/for),adj,ə'proupriit,"thích hợp, thích đáng"
approval,n,ə'pru:vəl,"sự tán thành, đồng ý, sự chấp thuận"
approve,v,ə'pru:v,"tán thành, đồng ý, chấp thuận"
approving,adj,ə'pru:viɳ,"tán thành, đồng ý, chấp thuận"
approximate,"adj, v",ə'prɔksimit,"giống với, giống hệt với"
approximately,adv,ə'prɔksimitli,"khoảng chừng, độ chừng"
April (abbr Apr),n,eiprəl,tháng Tư
area,n,eəriə,"diện tích, bề mặt"
argue,v,ɑ:gju:,"chứng tỏ, chỉ rõ"
argument,n,ɑ:gjumənt,lý lẽ
arise,v,ə'raiz,"xuất hiện, nảy ra, nảy sinh ra"
arm,n,ɑ:m,cánh tay
arm,v,ɑ:m,"vũ trang, trang bị (vũ khí)"
armed,adj,ɑ:md,vũ trang
arms,n,ɑ:md,"vũ khí, binh giới, binh khí"
army,n,ɑ:mi,quân đội
around,"adv, prep",ə'raund,"xung quanh, vòng quanh"
arrange,v,ə'reindʤ,"sắp xếp, sắp đặt, sửa soạn"
arrangement,n,ə'reindʤmənt,"sự sắp xếp, sắp đặt, sự sửa soạn"
arrest,"v, n",ə'rest,"bắt giữ, sự bắt giữ"
arrival,n,ə'raivəl,"sự đến, sự tới nơi"
arrive (at/in),v,ə'raiv,"đến, tới nơi"
arrow,n,ærou,"tên, mũi tên"
art,n,ɑ:t,"nghệ thuật, mỹ thuật"
article,n,ɑ:tikl,"bài báo, đề mục"
artificial,adj,",ɑ:ti'fiʃəl",nhân tạo
artificially,adv,",ɑ:ti'fiʃəli",nhân tạo
artist,n,ɑ:tist,nghệ sĩ
artistic,adj,ɑ:'tistik,"thuộc nghệ thuật, thuộc mỹ thuật"
as,"adv, conj, prep","æz, əz",như (as you know…)
as well,adv,"æz, əz","cũng, cũng như"
ashamed,adj,ə'ʃeimd,"ngượng, xấu hổ"
aside,adv,ə'said,"về một bên, sang một bên. aside from: ngoài ra, trư ra"
ask,v,ɑ:sk,hỏi
asleep,adj,ə'sli:p,"ngủ, đang ngủ. fall asleep ngủ thiếp đi"
aspect,n,æspekt,"vẻ bề ngoài, diện mạo"
assist,v,ə'sist,"giúp, giúp đỡ; tham dự, có mặt"
assistance,n,ə'sistəns,sự giúp đỡ
assistant,n,ə'sistənt,"người giúp đỡ, người phụ tá"
assistant,adj,ə'sistənt,giúp đỡ
associate,v,ə'souʃiit,"kết giao, liên kết, kết hợp, cho cộng tác. associated with liên kết với"
association,n,"ə,sousi'eiʃn","sự kết hợp, sự liên kết"
assume,v,ə'sju:m,"mang, khoác, có, lấy (cái vẻ, tính chất…)"
assure,v,ə'ʃuə,"đảm bảo, cấm đoán"
atmosphere,n,ætməsfiə,khí quyển
atom,n,ætəm,nguyên tử
attach,v,ə'tætʃ,"gắn, dán, trói, buộc"
attached,adj,ə'tætʃ,gắn bó
attack,n,ə'tæk,"sự tấn công, sự công kích"
attack,v,ə'tæk,"tấn công, công kích"
attempt,n,ə'tempt,"sự cố gắng, sự thử"
attempt,v,ə'tempt,"cố gắng, thử"
attempted,adj,ə'temptid,"cố gắng, thử"
attend,v,ə'tend,"dự, có mặt"
attention,n,ə'tenʃn,sự chú ý
attitude,n,ætitju:d,"thái độ, quan điểm"
attorney,n,ə'tə:ni,người được ủy quyền
attract,v,ə'trækt,"hút; thu hút, hấp dẫn"
attraction,n,ə'trækʃn,"sự hút, sức hút"
attractive,adj,ə'træktiv,"hút, thu hút, có duyên, lôi cuốn"
audience,n,ɔ:djəns,"thính, khan giả"
August (abbr Aug),n,ɔ:gəst - ɔ:'gʌst,tháng Tám
aunt,n,ɑ:nt,"cô, dì"
author,n,ɔ:θə,tác giả
authority,n,ɔ:'θɔriti,"uy quyền, quyền lực"
automatic,adj,",ɔ:tə'mætik",tự động
automatically,adv,",ɔ:tə'mætik",một cách tự động
autumn,n,ɔ:təm,mùa thu (US: mùa thu là fall)
available,adj,ə'veiləbl,"có thể dùng được, có giá trị, hiệu lực"
average,"adj, n",ævəridʤ,"trung bình, số trung bình, mức trung bình"
avoid,v,ə'vɔid,"tránh, tránh xa"
awake,adj,ə'weik,"đánh thức, làm thức dậy"
award,n,ə'wɔ:d,phần thưởng
award,v,ə'wɔ:d,"tặng, thưởng"
aware,adj,ə'weə,"biết, nhận thức, nhận thức thấy"
away,adv,ə'wei,"xa, xa cách, rời xa, đi xa"
awful,adj,ɔ:ful,"oai nghiêm, dễ sợ"
awfully,adv,ɔ:ful,"tàn khốc, khủng khiếp"
awkward,adj,ɔ:kwəd,"vụng về, lung túng"
awkwardly,adv,ɔ:kwəd,"vụng về, lung túng"
back,"n, adj, adv, v",bæk,"lưng, sau, về phía sau, trở lại"
background,n,bækgraund,phía sau; nền
backward,adj,bækwəd,"về phía sau, lùi lại"
backwards,adv,bækwədz,ngược
bacteria,n,bæk'tiəriəm,vi khuẩn
bad,adj,bæd,"xấu, tồi. go bad bẩn thỉu, thối, hỏng"
badly,adv,bædli,"xấu, tồi"
bad-tempered,adj,bæd'tempəd,"xấu tính, dễ nổi cáu"
bag,n,bæg,"bao, túi, cặp xách"
baggage,n,bædidʤ,hành lý
bake,v,beik,"nung, nướng bằng lò"
balance,n,bæləns,cái cân
balance,v,bæləns,"làm cho cân bằng, tương xứng"
ball,n,bɔ:l,quả bóng
ban,v,bæn,"cấm, cấm chỉ"
ban,n,bæn,sự cấm
band,n,bænd,"băng, đai, nẹp"
bandage,n,bændidʤ,dải băng
bandage,v,bændidʤ,băng bó
bank,n,bæɳk,"bờ (sông…) , đê"
bar,n,bɑ:,quán bán rượu
bargain,n,bɑ:gin,"sự mặc cả, sự giao kèo mua bán"
barrier,n,bæriə,đặt chướng ngại vật
base,n,beis,"cơ sở, cơ bản, nền móng"
base,v,beis,"đặt tên, đặt cơ sở trên cái gì. based on dựa trên"
basic,adj,beisik,"cơ bản, cơ sở"
basically,adv,beisikəli,"cơ bản, về cơ bản"
basis,n,beisis,"nền tảng, cơ sở"
bath,n,bɑ:θ,sự tắm
bathroom,n,bɑ:θ,"buồng tắm, nhà vệ sinh"
battery,n,bætəri,"pin, ắc quy"
battle,n,bætl,"trận đánh, chiến thuật"
bay,n,bei,"gian (nhà), nhịp (cầu), chuồng (ngựa); bays: vòng nguyệt quế, vịnh"
be sick,v,bi: sik,bị ốm
beach,n,bi:tʃ,bãi biển
beak,n,bi:k,mỏ chim
bear,v,beə,"mang, cầm, vác, đeo, ôm"
beard,n,biəd,râu
beat,n,bi:t,"tiếng đập, sự đập"
beat,v,bi:t,"đánh đập, đấm"
beautiful,adj,bju:təful,đẹp
beautifully,adv,bju:təfuli,"tốt đẹp, đáng hài lòng"
beauty,n,bju:ti,"vẻ đẹp, cái đẹp; người đẹp"
because,conj,bi'kɔz,"bởi vì, vì. because of prep. vì, do bởi"
become,v,bi'kʌm,"trở thành, trở nên"
bed,n,bed,cái giường
bedroom,n,bedrum,phòng ngủ
beef,n,bi:f,thịt bò
beer,n,bi:ə,rượu bia
before,"prep, conj, adv",bi'fɔ:,"trước, đằng trước"
begin,v,bi'gin,"bắt đầu, khởi đầu"
beginning,n,bi'giniɳ,"phần đầu, lúc bắt đầu, lúc khởi đầu"
behalf,n,bi:hɑ:f,"sự thay mặt. on behalf of sb thay mặt cho ai, nhân danh ai"
on sb’s behalf,prep,bi:hɑ:f,nhân danh cá nhân ai
behave,v,bi'heiv,"đối xử, ăn ở, cư xử"
behaviour,n,bi'heiv,"thái độ, cách đối xử; cách cư xử, cách ăn ở; tư cách đạo đức"
behavior,n,bi'heiv,"thái độ, cách đối xử; cách cư xử, cách ăn ở; tư cách đạo đức"
behind,"prep, adv",bi'haind,"sau, ở đằng sau"
belief,n,bi'li:f,"lòng tin, đức tin, sự tin tưởng"
believe,v,bi'li:v,"tin, tin tưởng"
bell,n,bel,"cái chuông, tiếng chuông"
belong,v,bi'lɔɳ,"thuộc về, của, thuộc quyền sở hữu"
below,"prep, adv",bi'lou,"ở dưới, dưới thấp, phía dưới"
belt,n,belt,"dây lưng, thắt lưng"
bend,"v, n",bentʃ,"chỗ rẽ, chỗ uốn; khuỷu tay; cúi xuống, uốn cong"
beneath,"prep, adv",bi'ni:θ,"ở dưới, dưới thấp"
benefit,n,benifit,"lợi, lợi ích"
benefit,v,benifit,"giúp ích, làm lợi cho"
bent,adj,bent,"khiếu, sở thích, khuynh hướng"
beside,prep,bi'said,"bên cạnh, so với"
bet,v,bet,"đánh cuộc, cá cược"
bet,n,bet,sự đánh cuộc
better,adj,"betə, best","tốt hơn, tốt nhất"
best,adj,"betə, best","tốt hơn, tốt nhất"
betting,n,beting,sự đánh cuộc
between,"prep, adv",bi'twi:n,"giữa, ở giữa"
beyond,"prep, adv",bi'jɔnd,"ở xa, phía bên kia"
bicycle (bike),n,baisikl,xe đạp
bid,v,bid,"đặt giá, trả giá"
bid,n,bid,"sự đặt giá, sự trả giá"
big,adj,big,"to, lớn"
bill,n,bil,"hóa đơn, giấy bạc"
bin,n,bin,"thùng, thùng đựng rượu"
biology,n,bai'ɔlədʤi,sinh vật học
bird,n,bə:d,chim
birth,n,bə:θ,"sự ra đời, sự sinh đẻ"
birthday,n,bə:θdei,"ngày sinh, sinh nhật"
biscuit,n,biskit,bánh quy
bit,n,bit,"miếng, mảnh. a bit một chút, một"
bite,v,bait,"cắn, ngoạm"
bite,n,bait,"sự cắn, sự ngoạm"
bitter,adj,bitə,"đắng; đắng cay, chua xót"
bitterly,adv,bitəli,"đắng, đắng cay, chua xót"
black,adj,blæk,đen
black,n,blæk,màu đen
blade,n,bleid,"lưỡi (dao, kiếm); lá (cỏ, cây); mái (chèo); cánh (chong chóng)"
blame,v,bleim,"khiển trách, mắng trách"
blame,n,bleim,"sự khiển trách, sự mắng trách"
blank,adj,blæɳk,"trống, để trắng"
blank,n,blæɳk,sự trống rỗng
blankly,adv,blæɳkli,"ngây ra, không có thần"
blind,adj,blaind,"đui, mù"
block,n,blɔk,"khối, tảng (đá)"
block,v,blɔk,"làm ngăn cản, ngăn chặn"
blonde (blond),"adj, n, adj",blɔnd,"hoe vàng, mái tóc hoe vàng"
blood,n,blʌd,"máu, huyết; sự tàn sát, chem giết"
blow,v,blou,nở hoa
blow,n,blou,sự nở hoa
blue,"adj, n",blu:,"xanh, màu xanh"
board,n,bɔ:d,tấm ván
board,v,bɔ:d,"lát ván, lót ván. on board trên tàu thủy"
boat,n,bout,"tàu, thuyền"
body,n,bɔdi,"thân thể, thân xác"
boil,v,bɔil,"sôi, luộc"
bomb,n,bɔm,quả bom
bomb,v,bɔm,"oánh bom, thả bom"
bone,n,boun,xương
book,n,buk,sách
book,v,buk,ghi chép
boot,n,bu:t,giày ống
border,n,bɔ:də,"bờ, mép, vỉa, lề (đường)"
bore,v,bɔ:,"buồn chán, buồn tẻ"
bored,adj,bɔ:,buồn chán
boring,adj,bɔ:riɳ,buồn chán
born ( be born),v,bɔ:n,"sinh, đẻ"
borrow,v,bɔrou,"vay, mượn"
boss,n,bɔs,"ông chủ, thủ trưởng"
both,"det, pron",bouθ,cả hai
bother,v,bɔðə,"làm phiền, quấy rầy, làm bực mình"
bottle,n,bɔtl,"chai, lọ"
bottom,n,bɔtəm,"phần dưới cùng, thấp nhất"
bottom,adj,bɔtəm,"cuối, cuối cùng"
bound (bound to),adj,baund,"nhất định, chắc chắn"
bowl,n,boul,cái bát
box,n,bɔks,"hộp, thùng"
boy,n,bɔi,"con trai, thiếu niên"
boyfriend,n,bɔi,bạn trai
brain,n,brein,"óc não; đầu óc, trí não"
branch,n,brɑ:ntʃ,"ngành; nhành cây, nhánh song, ngả đường"
brand,n,brænd,nhãn (hàng hóa)
brave,adj,breiv,"gan dạ, can đảm"
bread,n,bred,bánh mỳ
break,v,breik,"bẻ gẫy, đập vỡ"
break,n,breik,"sự gãy, sự vỡ"
breakfast,n,brekfəst,"bữa điểm tâm, bữa sáng"
breast,n,brest,"ngực, vú"
breath,n,breθ,"hơi thở, hơi"
breathe,v,bri:ð,"hít, thở"
breathing,n,bri:ðiɳ,"sự hô hấp, sự thở"
breed,"v, n",bri:d,"nuôi dưỡng, chăm sóc, giáo dục; sinh đẻ; nòi giống"
brick,n,brik,gạch
bridge,n,bridʤ,cái cầu
brief,adj,bri:f,"ngắn, gọn, vắn tắt"
briefly,adv,bri:fli,"ngắn, gọn, vắn tắt, tóm tắt"
bright,adj,brait,"sáng, sáng chói"
brightly,adv,braitli,"sáng chói, tươi"
brilliant,adj,briljənt,"tỏa sáng, rực rỡ, chói lọi"
bring,v,briɳ,"mang, cầm , xách lại"
broad,adj,broutʃ,rộng
broadcast,v,brɔ:dkɑ:st,"tung ra khắp nơi,truyền rộng rãi"
broadcast,n,brɔ:dkɑ:st,"phát thanh, quảng bá"
broadly,adv,brɔ:dli,"rộng, rộng rãi"
broken,adj,broukən,"bị gãy, bị vỡ"
brother,n,brΔðз,"anh, em trai"
brown,"adj, n",braun,"nâu, màu nâu"
brush,n,brΔ∫,bàn chải
brush,v,brΔ∫,"chải, quét"
bubble,n,bΔbl,"bong bóng, bọt, tăm"
budget,n,ˈbʌdʒɪt,ngân sách
build,v,bild,xây dựng
building,n,bildiŋ,"sự xây dựng, công trình xây dựng tòa nhà"
bullet,n,bulit,"đạn (súng trường, súng lục)"
bunch,n,bΛnt∫,"búi, chùm, bó, cụm, buồng; bầy, đàn"
burn,v,bə:n,"đốt, đốt cháy, thắp, nung, thiêu"
burnt,adj,bə:nt,"bị đốt, bị cháy, khê; rám nắng, sạm (da)"
burst,v,bə:st,"nổ, nổ tung (bom, đạn); nổ, vỡ (bong bóng); háo hức"
bury,v,beri,"chôn cất, mai táng"
bus,n,bʌs,xe buýt
bush,n,bu∫,"bụi cây, bụi rậm"
business,n,bizinis,"việc buôn bán, thương mại, kinh doanh"
businessman,n,ˈbɪznɪsmən,nam doanh nhân
businesswoman,n,ˈbɪznɪswʊmən,nữ doanh nhân
busy,adj,´bizi,"bận, bận rộn"
but,conj,bʌt,nhưng
butter,n,bʌtə,bơ
button,n,bʌtn,"cái nút, cái khuy, cúc"
buy,v,bai,mua
buyer,n,´baiə,người mua
by,"prep, adv",bai,"bởi, bằng"
bye,exclamation,bai,tạm biệt
cabinet,n,kæbinit,tủ có nhiều ngăn đựng đồ
cable,n,keibl,dây cáp
cake,n,keik,bánh ngọt
calculate,v,kælkjuleit,tính toán
calculation,n,",kælkju'lei∫n",sự tính toán
call,v,kɔ:l,gọi
call,n,kɔ:l,"tiếng kêu, tiếng gọi. be called: được gọi, bị gọi"
calm,"adj, v, n",kɑ:m,"yên lặng, làm dịu đi; sự yên lặng, sự êm ả"
calmly,adv,kɑ:mli,"yên lặng, êm ả; bình tĩnh, điềm tĩnh"
camera,n,kæmərə,máy ảnh
camp,n,kæmp,"trại, chỗ cắm trại"
camp,v,kæmp,"cắm trại, hạ trại"
campaign,n,kæmˈpeɪn,"chiến dịch, cuộc vận động"
camping,n,kæmpiη,sự cắm trại
can,"modal, v, n",kæn,"có thể; nhà tù, nhà giam, bình, ca đựng. cannot không thể"
cancel,v,´kænsəl,"hủy bỏ, xóa bỏ"
cancer,n,kænsə,bệnh ung thư
candidate,n,kændidit,"người ứng cử, thí sinh, người dự thi"
candy,n,´kændi,kẹo
cap,n,kæp,"mũ lưỡi trai, mũ vải"
capable,of,keipəb(ə)l,"có tài, có năng lực"
capable,adj,keipəb(ə)l,"có khả năng, cả gan"
capacity,n,kə'pæsiti,"năng lực, khả năng tiếp thu, năng suất"
capital,n,ˈkæpɪtl,"thủ đô, tiền vốn"
capital,adj,ˈkæpɪtl,"chủ yếu, chính yếu, cơ bản"
captain,n,kæptin,"người cầm đầu, người chỉ huy, th lĩnh"
capture,v,kæptʃə,"bắt giữ, bắt"
capture,n,kæptʃə,"sự bắt giữ, sự bị bắt"
car,n,kɑ:,xe hơi
card,n,kɑ:d,"thẻ, thiếp"
cardboard,n,´ka:d¸bɔ:d,"bìa cứng, các tông"
care,n,kɛər,"sự chăm sóc, chăm nom"
care,v,kɛər,chăm sóc
career,n,kə'riə,"nghề nghiệp, sự nghiệp"
careful,adj,keəful,"cẩn thận, cẩn trọng, biết giữ gìn"
carefully,adv,´kɛəfuli,"cẩn thận, chu đáo"
careless,adj,´kɛəlis,"sơ suất, cầu thả"
carelessly,adv,´kɛəlis,"cẩu thả, bất cẩn"
carpet,n,kɑ:pit,"tấm thảm, thảm (cỏ)"
carrot,n,´kærət,củ cà rốt
